"tipo","partido","radio10","sup_ha","pobl_tot","dens_ha","ind_hac","ind_gr","ind_matv","ind_dom","dim_viv","cat_viv","wkt"
"URBANO","Almirante Brown",60283612,46.99,1450,30.86,0.53,0,0.48,0.86,0.48,"MUY BAJO","MULTIPOLYGON (((5645220.21510002 6138899.4675,5645051.09430002 6138802.9993,5644994.5 6138902.5,5644964.04850002 6138955.4073,5644932.27580002 6139010.6102,5644815.5 6139213.5,5644943 6139288,5645075 6139365,5645137.0 6139400.5,5645193.96570002 6139432.8669,5645221.22230002 6139448.3536,5645313.0 6139500.5,5645477.5 6139597.5,5645561.5 6139647.0,5645599 6139669,5645724.5 6139742.5,5645808 6139790,5645856.5 6139709.5,5645901.5 6139627.5,5645930 6139578,5645991 6139473,5645906.5 6139425.5,5645825.5 6139377.5,5645745 6139327,5645658.5 6139276.0,5645491.5 6139176.5,5645401.09410002 6139128.3196,5645380.82590002 6139117.518,5645434.44490002 6139021.6663,5645379.73800002 6138990.4609,5645220.21510002 6138899.4675)))"
"URBANO","Almirante Brown",60282706,11.18,1497,133.9,0.61,0,0.56,0.66,0.51,"BAJO","MULTIPOLYGON (((5646195.0 6146779.5,5646237.5 6146707.5,5646280.0 6146635.5,5646211 6146596,5646145.0 6146556.5,5646073.0 6146516.5,5645999 6146474,5645925.5 6146431.5,5645850.5 6146387.0,5645776.5 6146344.5,5645703.0 6146301.5,5645699 6146308,5645660 6146375,5645614.5 6146449.5,5645689.5 6146490.5,5645761.5 6146530.5,5645841.5 6146575.5,5645913.5 6146617.0,5645995.5 6146664.5,5646061.5 6146701.5,5646127.0 6146738.5,5646195.0 6146779.5)))"
"URBANO","Almirante Brown",60282602,22.75,385,16.92,1,0.97,0.98,0.98,0.98,"MUY ALTO","MULTIPOLYGON (((5645806 6148340,5645711.72490002 6148281.0781,5645710 6148280,5645705.70020002 6148287.7397,5645705 6148289,5645673.49120002 6148282.6982,5645640 6148276,5645596 6148352,5645582 6148376,5645581.88280002 6148376.1992,5645532 6148461,5645482 6148548,5645487.63550002 6148551.5222,5645586 6148613,5645653.5 6148656.5,5645703 6148686,5645783 6148737,5645866 6148789,5645954 6148845,5646049 6148905,5646050.56440002 6148901.7557,5646123.5 6148750.5,5646201 6148587,5646126 6148540,5646082 6148513,5646017 6148473,5646015 6148471,5645905 6148402,5645810 6148342,5645806 6148340)))"
"URBANO","Almirante Brown",60282612,17.07,455,26.65,0.85,0.62,0.77,0.85,0.78,"ALTO","MULTIPOLYGON (((5646708 6147424,5646782 6147312,5646869 6147178,5646748 6147098,5646836 6146956,5646834 6146955,5646786.0 6146922.5,5646732.0 6146887.5,5646605.5 6146806.5,5646594.0 6146826.5,5646550.0 6146893.5,5646517.0 6146943.5,5646505.0 6146963.5,5646451.0 6147048.5,5646433 6147074,5646364.5 6147188.5,5646357.5 6147199.0,5646483 6147284,5646544 6147326,5646563 6147325,5646604 6147350,5646708 6147424)))"
"URBANO","Almirante Brown",60283405,17.11,1016,59.38,0.82,0.61,0.83,0.83,0.8,"ALTO","MULTIPOLYGON (((5646609.0 6141900.5,5646504.5 6141842.0,5646457.5 6141920.5,5646398.0 6142021.5,5646356.0 6142095.5,5646403.5 6142123.5,5646457.5 6142154.5,5646477.5 6142166.5,5646534.5 6142199.5,5646580.5 6142226.5,5646669.5 6142278.5,5646769.0 6142344.5,5646845.5 6142396.5,5646882.5 6142330.5,5646894.5 6142310.5,5646930.5 6142246.5,5646940.5 6142229.5,5646956.5 6142201.5,5647000.5 6142128.5,5646925.5 6142084.5,5646820.5 6142023.0,5646714.0 6141961.5,5646609.0 6141900.5)))"
"URBANO","Almirante Brown",60282711,15.65,704,44.98,0.96,0.95,0.98,0.85,0.95,"MUY ALTO","MULTIPOLYGON (((5646879.5 6146307.0,5646882.5 6146282.5,5646881.5 6146266.0,5646880 6146251,5646877.5 6146239.0,5646872.5 6146221.5,5646865.0 6146199.5,5646838 6146126,5646804.5 6146041.0,5646786.0 6145997.5,5646735.5 6146083.5,5646676.5 6146185.5,5646619.5 6146283.5,5646521.5 6146226.5,5646467.5 6146317.5,5646441 6146363,5646407.0 6146417.5,5646371.5 6146475.0,5646477.5 6146527.5,5646578.5 6146580.5,5646696.5 6146642.5,5646707.5 6146621.5,5646751.5 6146542.5,5646787.5 6146476.5,5646827.5 6146404.5,5646851.5 6146360.5,5646879.5 6146307.0)))"
"URBANO","Almirante Brown",60282712,18.32,902,49.24,0.94,0.96,0.98,0.92,0.96,"MUY ALTO","MULTIPOLYGON (((5646521.5 6146226.5,5646619.5 6146283.5,5646676.5 6146185.5,5646735.5 6146083.5,5646786.0 6145997.5,5646759.5 6145923.0,5646736.5 6145862.5,5646716.0 6145804.5,5646689.5 6145733.0,5646671.5 6145686.0,5646642 6145609,5646603.5 6145675.5,5646552.5 6145762.5,5646548.5 6145768.5,5646492.5 6145864.5,5646489.5 6145862.5,5646391.5 6145806.5,5646339.5 6145896.5,5646313.5 6145940.5,5646277.5 6146001.5,5646241.5 6146063.5,5646347.5 6146124.5,5646385.5 6146147.5,5646429.5 6146172.5,5646521.5 6146226.5)))"
"URBANO","Almirante Brown",60283503,22.33,1322,59.2,0.76,0.39,0.8,0.85,0.74,"MEDIO","MULTIPOLYGON (((5646376.5 6141497.0,5646436 6141395,5646481 6141321,5646551.5 6141196.0,5646416.5 6141118.0,5646292.5 6141046.0,5646177.5 6140979.5,5646105.5 6141103.0,5646112.5 6141107.5,5646092.5 6141140.0,5645965.5 6141064.5,5645836.5 6140991.0,5645707.5 6140915.5,5645682.5 6140958.0,5645624.5 6141060.0,5645749.5 6141134.0,5645882.5 6141210.0,5645997.0 6141276.5,5646010.5 6141285.0,5646122 6141349,5646199.5 6141393.0,5646281.5 6141441.0,5646376.5 6141497.0)))"
"URBANO","Almirante Brown",60283915,15.78,949,60.14,0.9,0.68,0.8,0.92,0.83,"ALTO","MULTIPOLYGON (((5649534.5 6137943.0,5649459.5 6137901.0,5649401.5 6138002.0,5649334.5 6138119.0,5649267.5 6138234.0,5649195.5 6138360.0,5649135.5 6138464.0,5649112.5 6138503.0,5649187.5 6138547.0,5649257.5 6138587.0,5649329.5 6138629.0,5649400.5 6138670.0,5649472.5 6138711.5,5649555.5 6138568.0,5649483.5 6138526.0,5649412.5 6138485.0,5649340.5 6138444.0,5649413.5 6138317.0,5649479.5 6138202.0,5649546.5 6138085.0,5649605.5 6137984.0,5649534.5 6137943.0)))"
"URBANO","Almirante Brown",60283709,22.49,912,40.55,0.9,0.75,0.91,0.87,0.88,"MUY ALTO","MULTIPOLYGON (((5647743.5 6138460.0,5647753 6138340,5647764.0 6138340.5,5647794.0 6138342.5,5647795.5 6138319.5,5647801.5 6138244.5,5647807.5 6138160.5,5647814.5 6138076.0,5647820.5 6137991.5,5647827.5 6137890.5,5647839.0 6137724.5,5647813.5 6137723.0,5647797 6137722,5647720.0 6137719.5,5647721.5 6137697.5,5647711.5 6137707.0,5647648.5 6137764.5,5647556.5 6137852.5,5647465 6137764,5647373.5 6137854.5,5647277 6137943,5647369.0 6138037.5,5647460.5 6138131.0,5647550.5 6138222.5,5647637.5 6138312.5,5647670.5 6138346.5,5647663.5 6138454.0,5647743.5 6138460.0)))"
"URBANO","Almirante Brown",60283008,48.5,2014,41.53,0.62,0.2,0.64,0.88,0.61,"BAJO","MULTIPOLYGON (((5642947.0 6145877.5,5643004.0 6145779.5,5643048.0 6145704.5,5643096.0 6145622.5,5643144.0 6145537.5,5643218 6145581,5643270 6145609,5643308.0 6145630.5,5643349.0 6145557.5,5643392.0 6145483.5,5643440.0 6145401.5,5643486.5 6145320.5,5643448 6145298,5643395.5 6145267.5,5643319.5 6145223.5,5643239.5 6145176.5,5643171.5 6145136.5,5643103.5 6145097.5,5643030.5 6145055.5,5642952.5 6145009.5,5642877.5 6144966.5,5642806 6144925,5642746.5 6145030.0,5642706 6145100,5642664 6145173,5642620.0 6145243.5,5642569.0 6145327.5,5642618.5 6145356.5,5642679.0 6145388.5,5642631.5 6145465.0,5642587.0 6145536.5,5642528.0 6145630.5,5642618.0 6145684.5,5642706.0 6145737.5,5642795.0 6145790.5,5642838.0 6145814.5,5642874.0 6145834.5,5642947.0 6145877.5)))"
"URBANO","Almirante Brown",60283208,26.49,1301,49.11,0.83,0.59,0.87,0.87,0.82,"ALTO","MULTIPOLYGON (((5648705.5 6142843.5,5648743 6142784,5648769.0 6142743.5,5648787 6142715,5648828.5 6142646.0,5648892 6142545,5648898.5 6142535.5,5648939.5 6142469.0,5648954.5 6142445.0,5648868.5 6142393.0,5648764.5 6142333.0,5648665.5 6142273.5,5648561.5 6142214.5,5648460.5 6142158.0,5648402 6142262,5648343.5 6142364.0,5648284.5 6142466.5,5648225.5 6142565.5,5648327.5 6142623.5,5648431.0 6142683.5,5648528.5 6142741.0,5648595.5 6142780.0,5648705.5 6142843.5)))"
