"tipo","partido","radio10","sup_ha","pobl_tot","dens_ha","ind_hac","ind_gr","ind_matv","ind_dom","dim_viv","cat_viv","wkt"
"URBANO","Esteban Echeverria",62600213,10.61,1269,119.6,0.75,0.02,0.76,0.83,0.66,"MEDIO","MULTIPOLYGON (((5639315.6968 6150868.2706,5639201.1719 6150798.9105,5639089.7417 6150736.7988,5638972.557 6150667.0225,5638848.5572 6150593.0226,5638730.5575 6150522.0227,5638722.5575 6150518.0227,5638683.5575 6150585.0226,5638644.5576 6150651.0224,5638770.2421 6150725.0974,5638894.5571 6150799.0222,5639012.4006 6150868.6393,5639121.5566 6150934.022,5639234.0049 6151000.8806,5639272.9516 6150939.2438,5639315.6968 6150868.2706)))"
"URBANO","Esteban Echeverria",62600211,11.39,1488,130.64,0.76,0.38,0.85,0.88,0.76,"ALTO","MULTIPOLYGON (((5639155.5565 6151134.0216,5639268.5563 6151201.0215,5639388.5561 6151273.0213,5639430.556 6151202.0215,5639470.4521 6151139.18,5639509.349 6151074.4171,5639549.7765 6151010.3352,5639604.3966 6150917.0079,5639477.2087 6150840.6232,5639371.9218 6150774.6225,5639315.6968 6150868.2706,5639272.9516 6150939.2438,5639234.0049 6151000.8806,5639195.5565 6151063.0217,5639155.5565 6151134.0216)))"
"URBANO","Esteban Echeverria",62600210,13.14,1415,107.69,0.74,0.66,0.84,0.89,0.8,"ALTO","MULTIPOLYGON (((5639371.9218 6150774.6225,5639477.2087 6150840.6232,5639604.3966 6150917.0079,5639658.3717 6150826.4761,5639697.0789 6150758.5234,5639734.0658 6150693.1513,5639768.5554 6150632.0227,5639806.5554 6150564.0228,5639844.5553 6150497.0229,5639727.5555 6150427.0231,5639615.5558 6150360.0232,5639576.5558 6150425.023,5639536.5559 6150493.0229,5639498.556 6150557.0228,5639459.556 6150621.0226,5639419.5561 6150688.0225,5639371.9218 6150774.6225)))"
"URBANO","Esteban Echeverria",62600318,12.46,1270,101.93,0.84,0.62,0.81,0.83,0.79,"ALTO","MULTIPOLYGON (((5638441.5582 6149494.0247,5638480.5581 6149427.0248,5638518.5581 6149364.0249,5638556.558 6149299.0251,5638589.558 6149243.0252,5638593.558 6149233.0252,5638598.5579 6149221.0252,5638630.5579 6149168.0253,5638668.5578 6149104.0255,5638550.5581 6149033.0256,5638433.5583 6148964.0257,5638393.5584 6149032.0256,5638360.5584 6149087.0254,5638358.5584 6149091.0254,5638321.6113 6149152.9118,5638318.5585 6149158.0253,5638280.5586 6149224.0252,5638255.2482 6149265.5602,5638241.5586 6149288.025,5638229.4029 6149309.1377,5638203.5587 6149354.0249,5638319.5585 6149423.0248,5638441.5582 6149494.0247)))"
"URBANO","Esteban Echeverria",62600319,11.81,1123,95.09,0.8,0.68,0.84,0.86,0.81,"ALTO","MULTIPOLYGON (((5638636.5578 6149609.0245,5638706.5577 6149650.0244,5638778.5575 6149692.0243,5638854.5574 6149563.0246,5638932.5573 6149433.0249,5638861.5574 6149390.0249,5638790.5576 6149349.025,5638725.5577 6149311.0251,5638660.5578 6149272.0251,5638593.558 6149233.0252,5638589.558 6149243.0252,5638556.558 6149299.0251,5638518.5581 6149364.0249,5638480.5581 6149427.0248,5638441.5582 6149494.0247,5638506.5581 6149532.0246,5638571.5579 6149570.0245,5638636.5578 6149609.0245)))"
"URBANO","Esteban Echeverria",62600405,12.25,1050,85.71,0.83,0.72,0.84,0.84,0.82,"ALTO","MULTIPOLYGON (((5638748.5577 6148971.0257,5638815.5576 6149011.0257,5638880.5574 6149050.0256,5638946.5573 6149089.0255,5639004.5572 6149124.0255,5639016.5571 6149130.0255,5639029.5571 6149135.0255,5639087.557 6149170.0254,5639168.5569 6149034.0257,5639241.5567 6148911.0259,5639245.5567 6148903.0259,5639175.5569 6148862.026,5639104.557 6148820.0261,5639039.5572 6148782.0262,5638973.5573 6148742.0262,5638907.5574 6148703.0263,5638869.5575 6148767.0262,5638830.5576 6148832.026,5638788.5576 6148904.0259,5638748.5577 6148971.0257)))"
"URBANO","Esteban Echeverria",62600408,15.71,1187,75.56,0.83,0.78,0.89,0.91,0.86,"ALTO","MULTIPOLYGON (((5638907.5574 6148703.0263,5638973.5573 6148742.0262,5639039.5572 6148782.0262,5639104.557 6148820.0261,5639175.5569 6148862.026,5639245.5567 6148903.0259,5639324.5566 6148769.0262,5639339.5566 6148778.0262,5639381.5565 6148708.0264,5639420.5564 6148641.0265,5639459.5564 6148577.0266,5639339.9838 6148506.8559,5639226.5569 6148438.0269,5639130.4538 6148377.5366,5639109.1734 6148367.7149,5639068.5572 6148433.0268,5639029.5572 6148499.0267,5638987.5573 6148570.0266,5638947.5574 6148637.0264,5638907.5574 6148703.0263)))"
"URBANO","Esteban Echeverria",62600110,122.02,1673,13.71,0.79,0.31,0.74,0.82,0.7,"MEDIO","MULTIPOLYGON (((5637242.5597 6154177.0153,5637484.5592 6154321.015,5637743.5587 6154476.0148,5638006.404 6154636.0507,5638093.7306 6154494.5815,5638179.723 6154343.7344,5638225.5723 6154272.742,5638273.5977 6154190.9894,5638317.2336 6154114.296,5638358.4456 6154037.3826,5638363.7345 6154034.7377,5638534.4243 6153751.1257,5638576.9381 6153683.2844,5638620.3565 6153611.8251,5638663.661 6153536.3484,5638706.7008 6153471.2765,5638562.7227 6153384.6847,5638438.9835 6153310.1338,5638306.7902 6153233.2772,5638175.1448 6153152.421,5637928.5586 6153005.0177,5637919.5586 6153020.0177,5637885.5587 6153077.0175,5637849.5587 6153138.0174,5637826.5588 6153177.0173,5637757.5589 6153292.0171,5637590.4047 6153582.3981,5637528.5593 6153679.0163,5637408.2796 6153890.6829,5637353.1623 6153988.2547,5637297.9744 6154083.178,5637242.5597 6154177.0153)))"
"URBANO","Esteban Echeverria",62600202,39.2,1856,47.35,0.84,0.63,0.86,0.83,0.82,"ALTO","MULTIPOLYGON (((5638765.3303 6153371.4582,5638825.0939 6153279.1459,5638885.3235 6153181.9571,5638925.7048 6153113.5144,5638939.3933 6153091.6127,5638970.877 6153035.4896,5638997.5697 6152992.3707,5639012.6271 6152964.9936,5639052.2068 6152892.4428,5639096.5325 6152824.9099,5639112.7776 6152800.7745,5639136.9131 6152759.4657,5639180.7328 6152687.606,5639208.1071 6152643.9551,5639310.9459 6152473.0504,5639266.5561 6152451.019,5639259.5561 6152447.019,5639187.0563 6152405.0191,5639126.5564 6152368.0191,5638987.5567 6152286.0193,5638901.5568 6152235.0194,5638858.5569 6152308.0192,5638818.7427 6152378.1717,5638913.5568 6152430.019,5638950.5567 6152463.0189,5638910.6432 6152526.6977,5638863.5326 6152597.0155,5638821.2955 6152665.7088,5638782.7716 6152736.2586,5638739.1421 6152808.665,5638699.1591 6152879.4401,5638652.618 6152950.6206,5638610.8863 6153022.434,5638553.2438 6153119.5295,5638496.8821 6153214.3192,5638438.9835 6153310.1338,5638562.7227 6153384.6847,5638706.7008 6153471.2765,5638765.3303 6153371.4582)))"
"URBANO","Esteban Echeverria",62600315,13,1025,78.85,0.86,0.59,0.92,0.91,0.86,"ALTO","MULTIPOLYGON (((5638416.5582 6149831.024,5638351.5583 6149793.0241,5638279.5584 6149915.0238,5638181.5586 6150079.0235,5638246.5585 6150117.0234,5638316.7859 6150153.5859,5638380.5582 6150197.0233,5638518.5579 6150279.0231,5638575.5578 6150183.0233,5638615.5578 6150115.0235,5638626.5577 6150096.0235,5638652.5577 6150052.0236,5638688.5576 6149992.0237,5638622.5578 6149953.0238,5638561.5579 6149917.0238,5638550.5579 6149911.0239,5638540.5579 6149904.0239,5638481.5581 6149869.0239,5638416.5582 6149831.024)))"
"URBANO","Esteban Echeverria",62600216,11.17,1385,123.99,0.82,0.62,0.86,0.86,0.82,"ALTO","MULTIPOLYGON (((5638829.5573 6150335.0231,5638956.557 6150411.023,5639079.5568 6150484.0228,5639119.5567 6150417.023,5639156.5567 6150354.0231,5639194.5566 6150291.0232,5639235.6031 6150224.3641,5639275.5565 6150157.0235,5639265.4937 6150150.6054,5639149.5567 6150082.0236,5639021.557 6150006.0238,5638983.5571 6150071.0236,5638942.5571 6150142.0235,5638905.5572 6150204.0233,5638869.5572 6150267.0232,5638829.5573 6150335.0231)))"
"URBANO","Esteban Echeverria",62600403,11.98,1226,102.34,0.78,0.67,0.81,0.79,0.78,"ALTO","MULTIPOLYGON (((5638593.558 6149233.0252,5638660.5578 6149272.0251,5638725.5577 6149311.0251,5638790.5576 6149349.025,5638861.5574 6149390.0249,5638932.5573 6149433.0249,5639007.5571 6149306.0251,5639087.557 6149170.0254,5639029.5571 6149135.0255,5639016.5571 6149130.0255,5639004.5572 6149124.0255,5638946.5573 6149089.0255,5638880.5574 6149050.0256,5638815.5576 6149011.0257,5638748.5577 6148971.0257,5638707.5578 6149039.0256,5638668.5578 6149104.0255,5638630.5579 6149168.0253,5638598.5579 6149221.0252,5638593.558 6149233.0252)))"
"URBANO","Esteban Echeverria",62600502,36.24,1216,33.55,0.76,0.61,0.73,0.71,0.72,"MEDIO","MULTIPOLYGON (((5639966.5551 6150570.0228,5639989.555 6150584.0228,5640117.8949 6150662.9417,5640202.5546 6150711.0226,5640229.5545 6150662.0227,5640268.5545 6150600.0228,5640390.8059 6150666.4617,5640406.6863 6150646.6724,5640417.9247 6150632.5022,5640431.1176 6150619.3093,5640461.5541 6150596.0228,5640478.554 6150588.0229,5640485.554 6150585.0229,5640555.5539 6150472.0231,5640628.5538 6150353.0234,5640665.5537 6150291.0235,5640689.0537 6150305.5235,5640686.0537 6150262.0235,5640691.4345 6150218.5676,5640694.343 6150176.8798,5640698.221 6150149.7343,5640736.0308 6150074.1145,5640759.2984 6150036.3047,5640769.9628 6150017.8844,5640669.5538 6149958.0241,5640548.554 6149884.0243,5640433.5543 6149813.0244,5640365.5544 6149924.0241,5640328.5544 6149985.024,5640287.5545 6150051.0239,5640246.5546 6150118.0237,5640196.5547 6150197.0236,5640173.5547 6150235.0235,5640153.5547 6150268.0234,5640112.5548 6150334.0233,5640066.5549 6150408.0231,5640027.5549 6150472.023,5639966.5551 6150570.0228)))"
"URBANO","Esteban Echeverria",62600507,14.93,1224,81.98,0.69,0.27,0.67,0.78,0.63,"BAJO","MULTIPOLYGON (((5640112.3412 6149310.937,5640044.9978 6149270.05,5639971.0404 6149224.3527,5639888.0637 6149172.0413,5639877.3325 6149189.5112,5639806.7148 6149147.7386,5639723.5558 6149098.0256,5639755.7662 6149044.6549,5639685.6648 6149002.1692,5639634.6819 6148969.2428,5639602.556 6149025.0258,5639563.5561 6149091.0256,5639544.5561 6149123.0256,5639525.5562 6149156.0255,5639486.5562 6149221.0254,5639538.5561 6149254.0253,5639606.556 6149296.0252,5639628.5559 6149310.0252,5639685.3173 6149345.9497,5639749.5557 6149386.0251,5639757.8691 6149390.0931,5639816.5555 6149428.025,5639907.5554 6149483.0249,5639976.5552 6149529.0249,5640042.5551 6149423.0251,5640112.3412 6149310.937)))"
"URBANO","Esteban Echeverria",62600516,10.94,859,78.52,0.87,0.65,0.85,0.87,0.83,"ALTO","MULTIPOLYGON (((5641132.5531 6148943.0262,5641019.5533 6148872.0263,5640948.5534 6148988.0261,5640928.5534 6149020.026,5640889.8027 6149077.9578,5641014.978 6149147.0048,5641069.8834 6149179.6851,5641121.553 6149211.0257,5641187.5529 6149252.0256,5641227.5528 6149276.0256,5641292.5527 6149316.0255,5641344.5526 6149230.0257,5641414.5525 6149117.0259,5641404.5525 6149112.0259,5641350.5526 6149078.026,5641245.5528 6149013.0261,5641132.5531 6148943.0262)))"
"URBANO","Esteban Echeverria",62600602,13.23,930,70.29,0.95,0.87,0.91,0.89,0.91,"MUY ALTO","MULTIPOLYGON (((5641751.5518 6149002.0262,5641882.5516 6149084.0261,5642019.4869 6149168.1023,5642189.6048 6148957.7747,5642161.7674 6148938.3327,5642195.3491 6148875.146,5642229.3727 6148818.1455,5642097.5512 6148739.0268,5641966.5515 6148657.0269,5641930.5515 6148714.0268,5641893.5516 6148773.0267,5641859.5517 6148828.0265,5641822.5517 6148886.0264,5641786.5518 6148944.0263,5641762.5518 6148983.0262,5641751.5518 6149002.0262)))"
"URBANO","Esteban Echeverria",62600605,22.2,1250,56.31,0.91,0.86,0.93,0.87,0.91,"MUY ALTO","MULTIPOLYGON (((5640703.554 6148357.0273,5640817.5538 6148428.0271,5640908.5536 6148485.0271,5640934.3636 6148497.1538,5641046.5533 6148568.0269,5641162.5531 6148639.0268,5641199.7737 6148576.0276,5641235.5529 6148521.027,5641270.5529 6148466.0272,5641306.5528 6148408.0273,5641342.5528 6148350.0274,5641378.5527 6148292.0275,5641264.5529 6148221.0276,5641150.9911 6148147.5376,5641037.4265 6148076.5597,5640921.7326 6148004.8721,5640851.1096 6148115.2427,5640820.944 6148175.219,5640776.5539 6148239.0275,5640744.9977 6148290.2031,5640703.554 6148357.0273)))"
"URBANO","Esteban Echeverria",62600608,14.37,767,53.38,0.93,0.85,0.96,0.87,0.92,"MUY ALTO","MULTIPOLYGON (((5640358.5547 6148143.0276,5640245.5549 6148073.0277,5640232.555 6148091.0277,5640172.5551 6148190.0275,5640101.5552 6148304.0273,5640030.5553 6148418.027,5639960.5554 6148532.0268,5640039.5553 6148577.0267,5640074.5552 6148598.0267,5640128.5551 6148630.0266,5640195.5549 6148668.0266,5640202.5549 6148650.0266,5640258.5548 6148560.0268,5640328.5547 6148446.027,5640399.5546 6148331.0273,5640472.5545 6148214.0275,5640358.5547 6148143.0276)))"
"URBANO","Esteban Echeverria",62600614,26.77,991,37.02,0.96,0.95,0.96,0.89,0.95,"MUY ALTO","MULTIPOLYGON (((5640921.7326 6148004.8721,5641037.4265 6148076.5597,5641150.9911 6148147.5376,5641264.5529 6148221.0276,5641378.5527 6148292.0275,5641414.5526 6148234.0276,5641449.5526 6148178.0277,5641537.5524 6148037.028,5641626.5523 6147900.0283,5641635.4695 6147887.1943,5641647.2908 6147870.1808,5641531.0612 6147794.8018,5641416.6653 6147727.9188,5641297.553 6147657.0287,5641237.5531 6147620.0288,5641194.7428 6147595.882,5641185.2709 6147609.8112,5641178.3482 6147619.9918,5641171.8385 6147626.2603,5641136.5533 6147661.0287,5641077.5534 6147755.0285,5641064.5534 6147777.0285,5640994.4849 6147889.5331,5640959.7057 6147944.1861,5640921.7326 6148004.8721)))"
"URBANO","Esteban Echeverria",62600701,25.95,1450,55.88,0.95,0.86,0.94,0.88,0.92,"MUY ALTO","MULTIPOLYGON (((5639609.5561 6148320.0272,5639725.5559 6148390.027,5639797.5558 6148273.0273,5639867.5557 6148159.0275,5639938.5555 6148045.0277,5640009.5554 6147930.028,5640012.5554 6147924.028,5640018.5554 6147912.028,5640084.5553 6147806.0282,5640154.5552 6147692.0285,5640226.5551 6147578.0287,5640108.5553 6147505.0288,5639995.5555 6147435.0289,5639924.5557 6147550.0287,5639853.5558 6147663.0285,5639781.5559 6147780.0282,5639708.556 6147899.028,5639637.5561 6148015.0278,5639566.5562 6148130.0275,5639493.5564 6148250.0273,5639609.5561 6148320.0272)))"
"URBANO","Esteban Echeverria",62600702,26.04,1083,41.59,0.99,0.96,0.98,0.92,0.97,"MUY ALTO","MULTIPOLYGON (((5639260.5568 6148110.0275,5639380.5566 6148182.0274,5639493.5564 6148250.0273,5639566.5562 6148130.0275,5639637.5561 6148015.0278,5639708.556 6147899.028,5639781.5559 6147780.0282,5639853.5558 6147663.0285,5639924.5557 6147550.0287,5639995.5555 6147435.0289,5639878.5558 6147362.0291,5639763.556 6147291.0292,5639692.5561 6147406.029,5639623.5562 6147519.0287,5639551.8032 6147635.9791,5639482.0749 6147751.625,5639408.5566 6147870.028,5639338.5567 6147983.0278,5639260.5568 6148110.0275)))"
"URBANO","Esteban Echeverria",62600712,17.84,827,46.36,1,1,0.99,0.92,0.98,"MUY ALTO","MULTIPOLYGON (((5639763.556 6147291.0292,5639835.5559 6147175.0294,5639905.5558 6147060.0297,5639977.5557 6146943.0299,5639863.5559 6146873.03,5639753.5561 6146805.0301,5639746.5561 6146800.0301,5639779.5561 6146747.0303,5639784.0561 6146740.0303,5639784.0869 6146739.9788,5639788.5561 6146732.5303,5639679.0206 6146649.71,5639673.947 6146658.4892,5639673.0563 6146660.0304,5639667.5563 6146669.5304,5639663.5563 6146676.0304,5639630.5564 6146729.0303,5639558.5565 6146845.03,5639487.5566 6146958.0298,5639415.5567 6147074.0296,5639532.5565 6147147.0294,5639646.5563 6147218.0293,5639763.556 6147291.0292)))"
"URBANO","Esteban Echeverria",62600708,17.93,823,45.9,0.92,0.57,0.86,0.85,0.83,"ALTO","MULTIPOLYGON (((5638999.5576 6146970.0297,5638883.5578 6146899.0298,5638770.558 6146829.0299,5638655.5583 6146757.03,5638542.5585 6146687.0302,5638447.5587 6146629.0303,5638442.5084 6146611.4349,5638406.4056 6146672.4086,5638368.5588 6146740.03,5638350.5588 6146771.03,5638298.5589 6146860.0298,5638305.5589 6146865.0298,5638396.5587 6146921.0297,5638510.5585 6146992.0296,5638631.2258 6147058.3669,5638743.751 6147125.1769,5638857.734 6147204.965,5638926.5577 6147087.0294,5638999.5576 6146970.0297)))"
"URBANO","Esteban Echeverria",62600513,52.7,1462,27.74,0.78,0.03,0.61,0.83,0.6,"BAJO","MULTIPOLYGON (((5640769.9628 6150017.8844,5640776.5536 6150024.024,5640905.5533 6150105.0239,5641028.553 6150181.0238,5641161.5528 6150265.0236,5641325.0888 6150359.4549,5641377.2632 6150268.1497,5641457.0594 6150117.7646,5641490.0522 6150055.5241,5641566.052 6149929.5243,5641469.5522 6149878.0244,5641372.5524 6149819.0245,5641283.5526 6149766.0246,5641196.4292 6149708.7261,5641098.3269 6149645.4009,5640963.7972 6149568.7964,5640907.5534 6149534.025,5640816.5536 6149476.0251,5640864.1794 6149400.2263,5640887.5535 6149363.0253,5640899.7539 6149339.734,5640857.5037 6149312.6863,5640777.9279 6149263.9006,5640773.5537 6149271.0255,5640737.2886 6149321.9241,5640734.0355 6149326.5688,5640699.5538 6149390.0252,5640678.5539 6149423.0252,5640663.1529 6149448.5912,5640625.054 6149508.025,5640578.554 6149582.0249,5640474.8407 6149758.578,5640433.5543 6149813.0244,5640548.554 6149884.0243,5640669.5538 6149958.0241,5640769.9628 6150017.8844)))"
"URBANO","Esteban Echeverria",62600514,37.02,1490,40.25,0.69,0.01,0.62,0.73,0.57,"BAJO","MULTIPOLYGON (((5641566.052 6149929.5243,5641708.0518 6149688.0248,5641762.5517 6149594.525,5641689.5519 6149551.0251,5641616.552 6149508.0252,5641549.5522 6149469.0252,5641483.5523 6149430.0253,5641358.5525 6149356.0254,5641347.5526 6149349.0254,5641336.0526 6149342.0255,5641292.5527 6149316.0255,5641227.5528 6149276.0256,5641187.5529 6149252.0256,5641121.553 6149211.0257,5641069.8834 6149179.6851,5641014.978 6149147.0048,5640889.8027 6149077.9578,5640843.8011 6149155.7298,5640822.0536 6149192.0257,5640818.6882 6149197.5074,5640777.9279 6149263.9006,5640857.5037 6149312.6863,5640899.7539 6149339.734,5640887.5535 6149363.0253,5640864.1794 6149400.2263,5640816.5536 6149476.0251,5640907.5534 6149534.025,5640963.7972 6149568.7964,5641098.3269 6149645.4009,5641196.4292 6149708.7261,5641283.5526 6149766.0246,5641372.5524 6149819.0245,5641469.5522 6149878.0244,5641566.052 6149929.5243)))"
"URBANO","Esteban Echeverria",62600612,26.95,993,36.85,0.95,0.93,0.96,0.92,0.95,"MUY ALTO","MULTIPOLYGON (((5640459.5546 6147723.0285,5640574.5543 6147794.0283,5640645.5542 6147678.0286,5640716.5541 6147563.0288,5640787.554 6147445.0291,5640820.4754 6147396.287,5640826.1957 6147387.7027,5640833.3994 6147376.8925,5640714.0542 6147300.5293,5640604.0544 6147234.0294,5640485.5546 6147161.0296,5640417.0548 6147118.5296,5640369.5549 6147089.0297,5640366.0549 6147087.0297,5640358.7723 6147097.8187,5640352.5549 6147107.0296,5640321.5549 6147157.0295,5640250.5551 6147274.0293,5640180.5552 6147388.0291,5640108.5553 6147505.0288,5640226.5551 6147578.0287,5640344.5548 6147651.0286,5640459.5546 6147723.0285)))"
"URBANO","Esteban Echeverria",62600615,19.03,873,45.87,0.96,0.95,0.97,0.91,0.96,"MUY ALTO","MULTIPOLYGON (((5641378.5527 6148292.0275,5641494.5525 6148363.0274,5641608.5522 6148434.0273,5641721.552 6148504.0272,5641757.5519 6148447.0273,5641792.5519 6148390.0274,5641880.5517 6148251.0277,5641944.5516 6148147.0279,5641831.5519 6148077.028,5641852.0298 6148042.8229,5641862.459 6148025.5358,5641870.3369 6148012.4776,5641754.8909 6147939.1537,5641647.2908 6147870.1808,5641635.4695 6147887.1943,5641626.5523 6147900.0283,5641537.5524 6148037.028,5641449.5526 6148178.0277,5641414.5526 6148234.0276,5641378.5527 6148292.0275)))"
"URBANO","Esteban Echeverria",62600703,33.19,1231,37.09,0.99,0.93,0.97,0.95,0.97,"MUY ALTO","MULTIPOLYGON (((5639763.556 6147291.0292,5639646.5563 6147218.0293,5639532.5565 6147147.0294,5639415.5567 6147074.0296,5639300.557 6147002.0297,5639184.5572 6146930.0298,5639068.5574 6146858.0299,5638999.5576 6146970.0297,5638926.5577 6147087.0294,5638857.734 6147204.965,5638971.717 6147273.3548,5639087.7724 6147346.9257,5639199.5571 6147421.0288,5639318.3944 6147490.373,5639436.928 6147563.5419,5639551.8032 6147635.9791,5639623.5562 6147519.0287,5639692.5561 6147406.029,5639763.556 6147291.0292)))"
"URBANO","Esteban Echeverria",62600706,19.8,1119,56.52,0.83,0.55,0.79,0.8,0.77,"ALTO","MULTIPOLYGON (((5638709.558 6147441.0287,5638598.737 6147366.4084,5638484.4248 6147294.2112,5638437.0586 6147271.529,5638367.5587 6147228.0291,5638252.559 6147157.0292,5638163.1471 6147094.4656,5638086.1367 6147219.6074,5638002.5594 6147367.0287,5638092.0592 6147420.5286,5638102.5592 6147427.0286,5638208.559 6147490.0285,5638281.5621 6147532.1312,5638323.5588 6147558.0284,5638440.5585 6147627.0283,5638543.8376 6147688.6334,5638554.5583 6147695.0282,5638638.5582 6147558.0285,5638709.558 6147441.0287)))"
"URBANO","Esteban Echeverria",62600411,12.22,773,63.26,0.91,0.8,0.92,0.82,0.89,"MUY ALTO","MULTIPOLYGON (((5639109.1734 6148367.7149,5639130.4538 6148377.5366,5639226.5569 6148438.0269,5639339.9838 6148506.8559,5639459.5564 6148577.0266,5639498.5563 6148511.0268,5639552.5562 6148421.0269,5639604.5561 6148334.0271,5639609.5561 6148320.0272,5639493.5564 6148250.0273,5639380.5566 6148182.0274,5639260.5568 6148110.0275,5639201.5569 6148210.0273,5639145.557 6148303.0271,5639109.1734 6148367.7149)))"
"URBANO","Esteban Echeverria",62600707,18.1,1163,64.25,0.87,0.63,0.79,0.8,0.79,"ALTO","MULTIPOLYGON (((5638857.734 6147204.965,5638743.751 6147125.1769,5638631.2258 6147058.3669,5638510.5585 6146992.0296,5638396.5587 6146921.0297,5638305.5589 6146865.0298,5638298.5589 6146860.0298,5638228.559 6146980.0295,5638163.1471 6147094.4656,5638252.559 6147157.0292,5638367.5587 6147228.0291,5638437.0586 6147271.529,5638484.4248 6147294.2112,5638598.737 6147366.4084,5638709.558 6147441.0287,5638781.5579 6147324.029,5638857.734 6147204.965)))"
"URBANO","Esteban Echeverria",62600802,21.36,1615,75.61,0.78,0.58,0.76,0.81,0.75,"MEDIO","MULTIPOLYGON (((5636833.8045 6146083.2952,5636871.6332 6146014.4884,5636917.195 6145938.7753,5636960.7468 6145860.7172,5637004.2985 6145780.9839,5637049.1904 6145704.6008,5636978.5617 6145663.5319,5636906.4746 6145620.1774,5636833.062 6145578.532,5636766.0026 6145535.2429,5636699.2287 6145494.5047,5636651.4455 6145462.6493,5636630.0043 6145451.0098,5636526.0672 6145392.2592,5636517.6799 6145433.468,5636515.3065 6145472.037,5636515.3963 6145492.5099,5636560.2058 6145621.0974,5636585.6007 6145748.0073,5636617.6944 6145879.3537,5636641.5623 6145981.0312,5636658.5623 6146044.0311,5636673.5622 6146101.031,5636681.5622 6146134.0309,5636689.0534 6146195.6997,5636750.4684 6146228.759,5636788.1418 6146163.4977,5636833.8045 6146083.2952)))"
"URBANO","Esteban Echeverria",62600809,15.05,1168,77.61,0.87,0.57,0.8,0.82,0.79,"ALTO","MULTIPOLYGON (((5638298.5589 6146860.0298,5638350.5588 6146771.03,5638368.5588 6146740.03,5638406.4056 6146672.4086,5638442.5084 6146611.4349,5638479.5586 6146545.0304,5638411.5588 6146505.0305,5638374.9257 6146475.9759,5638248.5805 6146407.3886,5638125.5594 6146335.0308,5638087.0959 6146398.0269,5638053.648 6146463.9431,5638011.5595 6146531.0304,5637941.5597 6146651.0301,5638063.8296 6146719.7434,5638189.7884 6146794.356,5638290.5589 6146856.0298,5638298.5589 6146860.0298)))"
"URBANO","Esteban Echeverria",62600814,14.76,1042,70.6,0.87,0.49,0.82,0.77,0.78,"ALTO","MULTIPOLYGON (((5638125.5594 6146335.0308,5638212.5592 6146181.0311,5638279.5591 6146063.0313,5638313.0529 6146004.5422,5638346.559 6145946.0316,5638339.559 6145943.0316,5638237.5592 6145884.0317,5638132.5594 6145823.0318,5638059.5596 6145781.0318,5637992.5597 6145896.0316,5637924.5598 6146012.0314,5637841.8695 6146166.7312,5637890.5598 6146195.031,5637910.5598 6146207.031,5637966.5597 6146240.0309,5638014.5596 6146269.0309,5638045.5595 6146287.0309,5638125.5594 6146335.0308)))"
"URBANO","Esteban Echeverria",62600903,21.44,1851,86.33,0.82,0.64,0.85,0.86,0.81,"ALTO","MULTIPOLYGON (((5637333.7028 6145208.5262,5637340.5611 6145192.0329,5637398.561 6145093.0331,5637466.5609 6144977.0333,5637541.5607 6144849.0336,5637502.5608 6144813.0336,5637524.4337 6144787.3748,5637547.5039 6144760.3115,5637511.9487 6144726.6276,5637454.2495 6144674.5424,5637403.1 6144627.1355,5637383.1392 6144609.046,5637344.7399 6144571.7564,5637282.0876 6144516.4154,5637256.2773 6144539.2666,5637230.5614 6144562.0341,5637178.5615 6144653.0339,5637110.5616 6144771.0337,5637048.3264 6144888.0531,5636981.0097 6145006.5763,5637050.0524 6145045.9882,5637122.5473 6145087.1262,5637191.5899 6145127.9764,5637260.0572 6145165.3745,5637333.7028 6145208.5262)))"
"URBANO","Esteban Echeverria",62601001,13.99,1264,90.35,0.8,0.4,0.71,0.8,0.7,"MEDIO","MULTIPOLYGON (((5638132.5594 6145823.0318,5638202.8556 6145703.4656,5638249.5592 6145621.0322,5638268.5592 6145589.0323,5638193.5594 6145546.0323,5638119.5595 6145503.0324,5638046.5597 6145460.0325,5637978.5598 6145421.0325,5637972.33 6145417.8488,5637962.8828 6145413.0208,5637951.1765 6145407.0383,5637880.9663 6145367.9851,5637817.2902 6145329.7795,5637747.5688 6145446.6819,5637684.5836 6145564.5975,5637721.6652 6145586.7841,5637733.2378 6145593.3985,5637751.0286 6145602.452,5637838.8039 6145650.0283,5637872.9297 6145668.1711,5637913.4833 6145689.8856,5637984.5597 6145737.0319,5638059.5596 6145781.0318,5638132.5594 6145823.0318)))"
"URBANO","Esteban Echeverria",62601008,15.63,1202,76.9,0.85,0.57,0.85,0.82,0.81,"ALTO","MULTIPOLYGON (((5637678.5003 6144880.423,5637728.872 6144926.92,5637767.6194 6144964.6987,5637875.1436 6145062.0517,5637928.4214 6145110.0017,5638036.5598 6144980.0334,5638135.5596 6144859.0337,5638236.5594 6144736.0339,5638179.5595 6144688.034,5638075.5598 6144603.0341,5637997.5599 6144532.0343,5637945.56 6144590.0341,5637892.5601 6144648.034,5637839.5602 6144704.0339,5637783.5603 6144764.0338,5637678.5003 6144880.423)))"
